,date,benchmark,value
543,2009-10-01,9509.28,0.8097485050644222
544,2009-10-02,9487.67,0.8071862257993624
545,2009-10-05,9599.75,0.8227475019425151
546,2009-10-06,9731.25,0.8357429011189358
547,2009-10-07,9725.58,0.8427829333385143
548,2009-10-08,9786.87,0.8492224689745924
549,2009-10-09,9864.94,0.8549372343533862
550,2009-10-12,9885.8,0.8589149420618576
551,2009-10-13,9871.06,0.8567169823975602
552,2009-10-14,10015.86,0.8743271712697801
553,2009-10-15,10062.94,0.8774012477232882
554,2009-10-16,9995.91,0.8646689339518702
555,2009-10-19,10092.19,0.8735696901970771
556,2009-10-20,10041.48,0.8702576497866589
557,2009-10-21,9949.36,0.8611360516316874
558,2009-10-22,10081.31,0.871721978443114
559,2009-10-23,9972.18,0.8628271345043704
560,2009-10-26,9867.96,0.8507859641391566
561,2009-10-27,9882.17,0.8336354573046216
562,2009-10-28,9762.69,0.8128408760905582
563,2009-10-29,9962.58,0.8344945200168291
564,2009-10-30,9712.73,0.8086971646482107
565,2009-11-02,9789.44,0.8127087392826714
566,2009-11-03,9771.91,0.8214876838745573
567,2009-11-04,9802.14,0.8225138926417804
568,2009-11-05,10005.96,0.8390521100188352
569,2009-11-06,10023.42,0.8439934364960563
570,2009-11-09,10226.94,0.8715198912526855
571,2009-11-10,10246.97,0.872727314549715
572,2009-11-11,10291.26,0.8790554097832763
573,2009-11-12,10197.47,0.8658956806037363
574,2009-11-13,10270.47,0.874446879817009
575,2009-11-16,10406.96,0.8900852842671172
576,2009-11-17,10437.42,0.8908381792429477
577,2009-11-18,10426.31,0.8880233857071035
578,2009-11-19,10332.44,0.8741831738347106
579,2009-11-20,10318.16,0.8709636606025896
580,2009-11-23,10450.95,0.8806137670839878
581,2009-11-24,10433.71,0.8786121660191104
582,2009-11-25,10464.4,0.8850456149137242
583,2009-11-27,10309.92,0.8680077587010886
584,2009-11-30,10344.84,0.8716213794147003
585,2009-12-01,10471.58,0.8822002219391619
586,2009-12-02,10452.68,0.8844067869300672
587,2009-12-03,10366.15,0.8748799435979855
588,2009-12-04,10388.9,0.8817291653859871
589,2009-12-07,10390.11,0.8753083878095347
590,2009-12-08,10285.97,0.8649052824543023
591,2009-12-09,10337.05,0.867213364761185
592,2009-12-10,10405.83,0.8693737640705632
593,2009-12-11,10471.5,0.8711012038350009
594,2009-12-14,10501.05,0.8819115198192186
595,2009-12-15,10452.0,0.8764664069724761
596,2009-12-16,10441.12,0.8813142273582492
597,2009-12-17,10308.26,0.8712381875068889
598,2009-12-18,10328.89,0.8810241113837929
599,2009-12-21,10414.14,0.8905982161608667
600,2009-12-22,10464.93,0.8934785161250841
601,2009-12-23,10466.44,0.9025123106071224
602,2009-12-24,10520.1,0.909284669302966
603,2009-12-28,10547.08,0.909795837092971
604,2009-12-29,10545.41,0.9092992525943956
605,2009-12-30,10548.51,0.9081925318808153
606,2009-12-31,10428.05,0.8990342111215094
